isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000309155.3	0	0	2.19	0.54141
ENST00000309190.9	20.91911	20.64582	9.0796	6.03319
ENST00000309244.9	48.72542	47.9342	31.915	34.05977
ENST00000309334.5	0.8539	0.65453	3.10626	0.9604
ENST00000309439.9	1.92003	4.02821	4.04745	7.9442
ENST00000309703.10	0	0.15675	2.41277	6.89099
ENST00000309737.11	2.42499	1.61792	0	3.05181
ENST00000309863.11	13.02816	12.01418	14.30382	17.46696
ENST00000309877.11	3.19399	2.75395	2.7619	3.44017
ENST00000309964.8	33.70684	19.92211	26.02017	14.257
ENST00000310418.9	1.38645	4.70979	33.72998	36.0964
ENST00000310441.12	53.05421	51.40008	38.3178	42.3353
ENST00000310653.10	18.50362	22.11834	8.98207	7.35127
ENST00000310758.9	1.28598	2.78449	1.09788	2.33243
ENST00000310775.12	15.32601	15.10606	0	0.64948
ENST00000311027.9	1.69425	1.35212	9.50691	7.19755
ENST00000311028.4	1.66562	6.16103	0	1.72315
ENST00000311044.8	0.90567	1.54264	0	1.30876
ENST00000311141.7	11.85281	8.61955	0.42747	0.81866
ENST00000311308.7	0	0.5289	32.58026	33.10203
ENST00000311916.8	5.72874	6.07745	2.93094	5.06066
ENST00000311966.9	1.41746	1.18446	0	1.10526
ENST00000312055.9	14.25392	15.19302	30.43685	28.2258
ENST00000312189.10	1.78326	2.59291	0.98809	0.52875
ENST00000312316.9	4.51907	4.89562	14.16754	26.74824
ENST00000312423.4	2.78814	3.96678	0.92652	0.21489
ENST00000312431.10	6.49604	2e-5	0	10.93651
ENST00000313432.5	14.43823	13.31686	29.52748	31.19105
ENST00000313860.12	21.08314	11.97057	9.52941	15.18691
ENST00000314028.11	35.54144	40.70846	37.91334	47.57641
ENST00000314070.9	0	0.58501	0	0
ENST00000314574.5	39.08713	27.67769	10.70431	12.86915
ENST00000314748.10	0.31286	0.13223	0.38217	0
ENST00000314754.12	1.26445	0.85946	0	1.23551
ENST00000314888.10	91.62062	50.35569	21.38456	14.55057
ENST00000315302.6	3.3973	0.80956	2.14086	1.58613
ENST00000315367.4	4.99278	6.87575	0.65873	2.15237
ENST00000315368.8	14.54605	17.27044	9.0468	8.97819
ENST00000315436.8	26.78037	32.96415	85.90303	93.04919
ENST00000315456.10	0.17165	0.8411	11.08689	2.6542
ENST00000315585.11	0.54468	0.17267	0.36533	0.08944
ENST00000315711.12	8.46693	9.40335	39.62961	49.34646
ENST00000315930.11	10.42997	17.37657	5.15231	1.19223
ENST00000315939.11	61.07927	63.93712	71.43748	81.79568
ENST00000316341.8	12.05959	12.02041	0.98809	4.87742
ENST00000316562.9	9.05723	14.72499	7.92491	5.88969
ENST00000316637.7	1.33412	1.77029	0.37391	0.11905
ENST00000316715.9	0	0	1.94791	0.70483
ENST00000316724.10	5.06197	9.12853	45.09538	62.0338
ENST00000316731.13	3.87291	5.06266	6.87566	8.9661
ENST00000316757.4	2.48263	3.05843	2.2498	3.51333
ENST00000316881.9	17.54089	19.04075	1.88208	1.58874
ENST00000316999.9	26.90196	27.38918	3.58378	8.99709
ENST00000317058.8	7.54929	7.90918	7.93218	12.06348
ENST00000317133.9	0.25548	0.55899	1.4352	1.27359
ENST00000317361.11	2.02492	1.85742	9.12002	17.62077
