"","gene_id","gene_name","DG-WT-hRGC","EP1-BRN3B-RO","H9-BRN3B-RO","hRGC"
"17850","MMP20","MMP20",18.8821756659719,14.2842207775031,19.4057115481991,37.9485183433684
"17851","MMP21","MMP21",25.8133667030658,33.7491304437327,46.1694802126209,28.9569961346296
"17852","MMP23A","MMP23A",0,1.03227645923484,0,1.00000152331362
"17853","MMP23B","MMP23B",16.035421889444,79.4457729980023,28.5249658468837,25.4789017266917
"17854","MMP24","MMP24",761.279969348649,199.045134470318,194.829936548437,751.386458597276
"17855","MMP24OS","MMP24OS",665.561106289169,568.275759176348,534.019171201889,924.86648176011
"17856","MMP25","MMP25",97.7595978383592,132.34876923871,150.862477808796,98.1914829638311
"17857","MMP26","MMP26",0.999994715321423,5.99999713596864,9.99998860288341,6.69350209170157
"17858","MMP27","MMP27",0,8.00000127269251,8.11259264595682,0
"17859","MMP28","MMP28",6.11558757068504,21.3829524298234,10.500012318506,10.588616765094
"17860","MMP3","MMP3",0,9.48436359139545,12.7135193942325,2.00000304662724
"17861","MMP7","MMP7",0.999994715321423,5.99999713596864,5.00000858701726,5.00000761656811
"17862","MMP8","MMP8",27.1076788018954,53.6444824238239,60.5619118741109,58.9250917975864
"17863","MMP9","MMP9",12.5858761922016,46.9940333544324,83.516774670251,39.6257018056288
"17864","MMRN1","MMRN1",4.99998871794797,35.0310026536794,13.0014023128436,15.0000024863924
"17865","MMRN2","MMRN2",202.439727209851,174.73236079805,271.604762405059,267.05062265201
"17866","MMS19","MMS19",763.901480538642,591.429954005033,526.666628317832,1076.78876254563
"17867","MMS22L","MMS22L",1084.54406863615,1173.15558062172,1164.4725202026,1316.83490486617
"17868","MMUT","MMUT",520.911425562505,491.667902541527,522.283442312185,643.909366473503
"17869","MN1","MN1",666.402571165756,171.494214494478,99.5597188747925,950.668365977664
"17870","MNAT1","MNAT1",614.369883270004,744.368730700648,787.166227138243,1109.2255636064
"17871","MND1","MND1",25.7377357055031,75.2672703886621,19.9764774339767,42.7089312315153
"17872","MNDA","MNDA",0,8.00000127269251,15.9999874788437,1.00537743766881
"17873","MNS1","MNS1",38.4225757015225,130.340593403398,161.635330334852,97.34573352855
"17874","MNT","MNT",891.344692932921,638.423727698015,457.281873552254,1097.18575541508
"17875","MNX1","MNX1",10.0000077185776,8.00001654689548,7.99999373942184,4.00000609325449
"17876","MOAP1","MOAP1",654.358618704038,526.205029116416,649.879360351777,580.668901970469
"17877","MOB1A","MOB1A",745.770330520339,1057.65998508362,687.969861877726,1127.36169940313
"17878","MOB1AP1","MOB1AP1",0,0,1.99999486346157,0
"17879","MOB1AP2","MOB1AP2",0,0,4.0000040124987,0
"17880","MOB1B","MOB1B",489.061751349462,336.934177884043,317.144834444244,710.401220632518
"17881","MOB2","MOB2",40.7757823315933,46.1721743152946,36.4195748954266,70.3271617852064
"17882","MOB3A","MOB3A",498.229197299875,557.220245244981,350.337583533007,500.186821238112
"17883","MOB3B","MOB3B",295.114847648301,537.121517252362,637.784734947372,282.412440465156
"17884","MOB3C","MOB3C",6.76849732962416,86.6896095785254,58.3001052674285,40.6974025503236
"17885","MOB4","MOB4",1187.49872108667,865.333773934599,810.502800513248,1332.42110601371
"17886","MOB4P1","MOB4P1",0,6.78318189318963,8.46533207759369,15.7169539735803
"17887","MOBP","MOBP",8.06335451672454,36.6407050819436,42.8676265631355,10.2782798909533
"17888","MOCOS","MOCOS",13.7596329351566,24.3273147134942,89.6502008219073,27.8733217625073
"17889","MOCS1","MOCS1",39.5843707852033,65.363324441716,96.8064884689724,74.3691773910168
"17890","MOCS2","MOCS2",456.421532589123,593.759285231965,712.834063274847,447.395668083112
"17891","MOCS3","MOCS3",154.99295778373,180.330631121738,197.242598832995,163.460174063857
"17892","MOG","MOG",3.99999400262655,13.3489813297285,6.00007030383805,1.53398865261746
"17893","MOGAT1","MOGAT1",0,0,7.05341721748395,1.00004224993753
"17894","MOGAT2","MOGAT2",0,4.00000827344774,11.1798057169295,0
"17895","MOGAT3","MOGAT3",54.4238992913646,55.7670467651687,48.2487885915712,37.781213372375
"17896","MOGS","MOGS",217.957920895744,335.410331750666,333.047494296822,397.701123049951
"17897","MOK","MOK",394.393818475934,1089.39861801319,1180.35923735286,707.425265133992
"17898","MON1A","MON1A",150.688592547268,89.6356978471317,122.13048540095,141.091483151387
