variants_overlapped.counts_per_read	variants_overlapped.Freq	sample	sample_clean	Freq_percentage
91	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
93	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
95	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
97	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
100	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
103	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
109	3	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	4.847019188217995e-5
119	2	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	3.231346125478663e-5
124	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
131	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
132	1	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.6156730627393316e-5
1	1987100	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	51.83505647310843
2	821899	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	21.43987775159345
3	393298	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	10.25948570316572
4	226194	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	5.900447266810069
5	136157	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	3.5517617554270164
6	82623	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	2.1552855271388647
7	52866	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	1.3790509262278448
8	34972	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.912271951576442
9	24747	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.6455448354587159
10	17416	H9-BRN3B_hRO_2_variants_per_read	H9-BRN3B_hRO_2	0.45430997108130255
