isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
ENST00000295718.7	104.15107	115.2583	90.50757	121.36311	34.77227
ENST00000295736.9	9e-5	16.90008	6e-5	68.44804	5e-5
ENST00000295809.12	119.74449	0	7.2045	113.94703	0
ENST00000295901.9	1055.97668	345.6791	489.50152	843.48047999999994	490.42139
ENST00000295924.12	209.26652	77.25888	105.53268	331.52018	89.63459
ENST00000295951.7	118.98047	0	35.88582	27.60218	7.60181
ENST00000295952.7	0	80.33709	31.87531	0	50.20616
ENST00000295955.14	16.38471	15.26861	16.28403	10.95349	21.95935
ENST00000295974.12	216.56559	101.64488	107.03015	248.83992	78.86612
ENST00000295989.9	7.7789	0	0	8.29034	0
ENST00000296003.9	58.80471	55.95726	53.63526	103.12998	54.15366
ENST00000296043.7	447.7387	339.94851	357.56036	592.34958	355.24941
ENST00000296202.12	42.79299	25.63136	11.72505	44.72872	25.26223
ENST00000296350.10	16.42058	7	12	12	10
ENST00000296351.8	1.36838	0	0	2	0
ENST00000296387.6	8.18192	15.82454	12.03888	6.62632	46.32556
ENST00000296440.11	114.51968	119.29016	46.11577	51.82385	119.38568
ENST00000296487.8	5.37498	0	1.78036	14.07374	0
ENST00000296533.3	41	54	37.79431	18	44.8595
ENST00000296555.11	7e-5	68.29449	281.0242	13.52709	280.88996
ENST00000296577.9	619.83809	274.76252	428.16056	600.23271	300.58822
ENST00000296679.9	414.85626	248.16645	320.75593	316.94763	285.32171
ENST00000296734.6	23.63796	7.53148	6.09934	16.33486	11.985900000000001
ENST00000296792.9	185.54719	29.60067	37.18845	189.18279	39.9704
ENST00000296805.8	190.89549	119.96899	130.06499	188.8242	105.9436
ENST00000296873.11	182.77202	53.76118	53.24585	158.17605	56.50611
ENST00000297063.10	12.86808	0	0	0	8.68885
ENST00000297313.8	57.88558	42.5787	25.66598	61.83829	14.15878
ENST00000297488.10	40.57018	8.65826	27.57039	51.5768	15.18583
ENST00000297534.7	18.81321	244.51802	434.69286	26.04353	476.42826
ENST00000297564.6	1944.56639	1.79593	910.22839	1637.37429	1.73895
ENST00000297979.9	32.95436	6.12756	46.45568	7.37179	37.98263
ENST00000297991.6	122.02886	47.39662	34.14707	177.05971	71.51686
ENST00000298048.7	55.97643	15.86357	25.47099	18.59084	32.61689
ENST00000298281.8	277.36886	187.65269	162.37961	469.39373	198.1489
ENST00000298852.8	109.53129	1e-5	1e-5	1e-5	355.81586
ENST00000298910.12	29.44398	2.43697	0	39.78232	0.5
ENST00000299173.14	50.96219	15.75704	31.79243	82.4538	32.76307
ENST00000299237.3	107.87626	113.90139	77.3935	90	83.61129
ENST00000299240.10	224.83776	138.88568	117.07692	221.19705	121.14894
ENST00000299613.10	18.37638	0	2.04578	16.2381	7.40247
ENST00000299871.9	1.90317	5.24553	0	1.58423	0
ENST00000299886.9	210.0157	127.59195	143.81676	252.05612	109.46095
ENST00000300278.8	3489.19283	61.74186	71.81789	2516.25833	60.25047
ENST00000300289.10	87.69874	30.31319	71.65178	92.7915	73.60724
ENST00000300302.9	5e-5	87.99387	4e-5	4e-5	3e-5
ENST00000300417.11	0	26.87348	25.23053	0	16.81805
ENST00000300434.3	0	3.5082	0	16.51417	2.58443
ENST00000300584.8	80.85569	57.5345	77.56599	87.60004	60.84464
ENST00000300605.11	277.28414	202.40016	274.0777	276.55187	300.5572
ENST00000300688.8	3737.7262	1773.51294	2629.61033	3480.77879	2500.45141
ENST00000301032.8	2030.93035	232.02714	226.3013	3248.33495	159.33891
ENST00000301072.11	405.23974	248.46984	138.59697	145.87571	91.37386
