"isoform_id","gene_id","gene_symbol"
"ENST00000647144","ENSG00000111670","GNPTAB"
"ENST00000536930","ENSG00000120860","WASHC3"
"ENST00000388887","ENSG00000136011","STAB2"
"ENST00000415849","ENSG00000111696","NT5DC3"
"ENST00000680653","ENSG00000166598","HSP90B1"
"ENST00000680242","ENSG00000166598","HSP90B1"
"ENST00000680478","ENSG00000166598","HSP90B1"
"ENST00000552460","ENSG00000204954","UQCC6"
"ENST00000525265","ENSG00000198431","TXNRD1"
"ENST00000549713","ENSG00000136052","SLC41A2"
"ENST00000433540","ENSG00000136052","SLC41A2"
"ENST00000424946","ENSG00000136052","SLC41A2"
"ENST00000548195","ENSG00000136051","WASHC4"
"ENST00000550613","ENSG00000136051","WASHC4"
"ENST00000552203","ENSG00000136051","WASHC4"
"ENST00000550036","ENSG00000136051","WASHC4"
"ENST00000552945","ENSG00000136044","APPL2"
"ENST00000548458","ENSG00000235162","C12orf75"
"ENST00000549893","ENSG00000235162","C12orf75"
"ENST00000548336","ENSG00000235162","C12orf75"
"ENST00000548902","ENSG00000074590","NUAK1"
"ENST00000553039","ENSG00000136026","CKAP4"
"ENST00000357881","ENSG00000111783","RFX4"
"ENST00000546449","ENSG00000111785","RIC8B"
"ENST00000551237","ENSG00000151135","TMEM263"
"ENST00000548119","ENSG00000075856","SART3"
"ENST00000550619","ENSG00000075856","SART3"
"ENST00000546812","ENSG00000084112","SSH1"
"ENST00000392784","ENSG00000135093","USP30"
"ENST00000338432","ENSG00000076555","ACACB"
"ENST00000544651","ENSG00000076555","ACACB"
"ENST00000542524","ENSG00000076555","ACACB"
"ENST00000457826","ENSG00000174527","MYO1H"
"ENST00000543960","ENSG00000174527","MYO1H"
"ENST00000636529","ENSG00000110921","MVK"
"ENST00000543653","ENSG00000139438","FAM222A"
"ENST00000312777","ENSG00000139437","TCHP"
"ENST00000549826","ENSG00000076513","ANKRD13A"
"ENST00000687999","ENSG00000174456","C12orf76"
"ENST00000551055","ENSG00000122970","IFT81"
"ENST00000550248","ENSG00000174437","ATP2A2"
"ENST00000476566","ENSG00000111229","ARPC3"
"ENST00000546592","ENSG00000111231","GPN3"
"ENST00000621131","ENSG00000111237","VPS29"
"ENST00000358071","ENSG00000151164","RAD9B"
"ENST00000548721","ENSG00000196850","PPTC7"
"ENST00000546425","ENSG00000122986","HVCN1"
"ENST00000397643","ENSG00000111249","CUX2"
"ENST00000547838","ENSG00000198324","PHETA1"
"ENST00000550925","ENSG00000111252","SH2B3"
"ENST00000538307","ENSG00000111252","SH2B3"
"ENST00000608853","ENSG00000204842","ATXN2"
"ENST00000550104","ENSG00000204842","ATXN2"
"ENST00000542287","ENSG00000204842","ATXN2"
"ENST00000552323","ENSG00000204842","ATXN2"
"ENST00000672105","ENSG00000204842","ATXN2"
"ENST00000548492","ENSG00000204842","ATXN2"
"ENST00000552965","ENSG00000111271","ACAD10"
"ENST00000550701","ENSG00000111300","NAA25"
"ENST00000548092","ENSG00000135148","TRAFD1"
"ENST00000549306","ENSG00000173064","HECTD4"
"ENST00000552437","ENSG00000173064","HECTD4"
"ENST00000681436","ENSG00000089127","OAS1"
"ENST00000681194","ENSG00000089127","OAS1"
"ENST00000681527","ENSG00000111331","OAS3"
"ENST00000680685","ENSG00000111335","OAS2"
"ENST00000681673","ENSG00000111335","OAS2"
"ENST00000680666","ENSG00000111335","OAS2"
"ENST00000547730","ENSG00000135144","DTX1"
"ENST00000548972","ENSG00000111344","RASAL1"
"ENST00000553112","ENSG00000135094","SDS"
"ENST00000552386","ENSG00000122965","RBM19"
"ENST00000349716","ENSG00000089225","TBX5"
"ENST00000310346","ENSG00000089225","TBX5"
"ENST00000526441","ENSG00000089225","TBX5"
"ENST00000552726","ENSG00000089225","TBX5"
"ENST00000552023","ENSG00000123066","MED13L"
"ENST00000549786","ENSG00000123066","MED13L"
"ENST00000548743","ENSG00000123066","MED13L"
"ENST00000647567","ENSG00000123066","MED13L"
"ENST00000649627","ENSG00000123066","MED13L"
"ENST00000648593","ENSG00000123066","MED13L"
"ENST00000650375","ENSG00000123066","MED13L"
"ENST00000548356","ENSG00000111412","SPRING1"
"ENST00000552092","ENSG00000135116","HRK"
"ENST00000618760","ENSG00000089250","NOS1"
"ENST00000545002","ENSG00000171435","KSR2"
"ENST00000419821","ENSG00000135090","TAOK3"
"ENST00000542902","ENSG00000135090","TAOK3"
"ENST00000539872","ENSG00000135090","TAOK3"
"ENST00000641910","ENSG00000139767","SRRM4"
"ENST00000545224","ENSG00000139767","SRRM4"
"ENST00000535685","ENSG00000183273","CCDC60"
"ENST00000545870","ENSG00000111725","PRKAB1"
"ENST00000676693","ENSG00000122966","CIT"
"ENST00000677812","ENSG00000122966","CIT"
"ENST00000679120","ENSG00000122966","CIT"
"ENST00000678677","ENSG00000122966","CIT"
